27873,Saratoga,North Carolina,NC,Wilson,35.6495,-77.7918,
27874,Scotland Neck,North Carolina,NC,Halifax,36.1301,-77.4273,
27875,Scranton,North Carolina,NC,Hyde,35.4717,-76.4951,
27876,Seaboard,North Carolina,NC,Northampton,36.4886,-77.4113,
27877,Severn,North Carolina,NC,Northampton,36.3561,-77.4831,
27878,Sharpsburg,North Carolina,NC,Nash,35.8654,-77.8389,
27879,Simpson,North Carolina,NC,Pitt,35.5675,-77.2802,
27880,Sims,North Carolina,NC,Wilson,35.7435,-78.0859,
27881,Speed,North Carolina,NC,Edgecombe,35.9159,-77.5855,
27882,Spring Hope,North Carolina,NC,Nash,35.9302,-78.1085,
27883,Stantonsburg,North Carolina,NC,Wilson,35.594,-77.8378,
27884,Stokes,North Carolina,NC,Pitt,35.7104,-77.2722,
27885,Swanquarter,North Carolina,NC,Hyde,35.4222,-76.2875,
27886,Tarboro,North Carolina,NC,Edgecombe,35.8983,-77.5421,
27887,Tillery,North Carolina,NC,Halifax,36.2352,-77.5026,
27888,Walstonburg,North Carolina,NC,Greene,35.5882,-77.6983,
27889,Washington,North Carolina,NC,Beaufort,35.5884,-77.1404,
27890,Weldon,North Carolina,NC,Halifax,36.4206,-77.6035,
27891,Whitakers,North Carolina,NC,Nash,36.0758,-77.7167,
27892,Williamston,North Carolina,NC,Martin,35.8212,-77.1022,
27893,Wilson,North Carolina,NC,Wilson,35.727,-77.9227,
27894,Wilson,North Carolina,NC,Wilson,35.7158,-77.9043,
27895,Wilson,North Carolina,NC,Wilson,35.7199,-77.9267,
27896,Wilson,North Carolina,NC,Wilson,35.7715,-77.973,
27897,Woodland,North Carolina,NC,Northampton,36.325,-77.2107,
27906,Elizabeth City,North Carolina,NC,Pasquotank,36.2854,-76.2133,
27907,Elizabeth City,North Carolina,NC,Pasquotank,36.285,-76.2553,
27909,Elizabeth City,North Carolina,NC,Pasquotank,36.2951,-76.2445,
27910,Ahoskie,North Carolina,NC,Hertford,36.2957,-76.9966,
27915,Avon,North Carolina,NC,Dare,35.7765,-75.6358,
27916,Aydlett,North Carolina,NC,Currituck,36.3045,-75.9029,
27917,Barco,North Carolina,NC,Currituck,36.3588,-75.9793,
27919,Belvidere,North Carolina,NC,Perquimans,36.3096,-76.5436,
27920,Buxton,North Carolina,NC,Dare,35.2525,-75.5722,
27921,Camden,North Carolina,NC,Camden,36.325,-76.15,
27922,Cofield,North Carolina,NC,Hertford,36.3333,-76.8746,
27923,Coinjock,North Carolina,NC,Currituck,36.3751,-75.934,
27924,Colerain,North Carolina,NC,Bertie,36.1901,-76.8548,
27925,Columbia,North Carolina,NC,Tyrrell,35.9057,-76.2345,
27926,Corapeake,North Carolina,NC,Gates,36.5179,-76.5979,
27927,Corolla,North Carolina,NC,Currituck,36.3206,-75.8132,
27928,Creswell,North Carolina,NC,Washington,35.8653,-76.4196,
27929,Currituck,North Carolina,NC,Currituck,36.4398,-76.0055,
27930,Durants Neck,North Carolina,NC,Perquimans,36.1985,-76.3739,
27932,Edenton,North Carolina,NC,Chowan,36.0908,-76.6224,
27935,Eure,North Carolina,NC,Gates,36.4341,-76.8463,
27936,Frisco,North Carolina,NC,Dare,35.2338,-75.6145,
27937,Gates,North Carolina,NC,Gates,36.5036,-76.7646,
27938,Gatesville,North Carolina,NC,Gates,36.4072,-76.7325,
27939,Grandy,North Carolina,NC,Currituck,36.2339,-75.8768,
27941,Harbinger,North Carolina,NC,Currituck,36.1025,-75.8169,
27942,Harrellsville,North Carolina,NC,Hertford,36.2866,-76.7767,
27943,Hatteras,North Carolina,NC,Dare,35.6928,-75.7138,
27944,Hertford,North Carolina,NC,Perquimans,36.1685,-76.3731,
27946,Hobbsville,North Carolina,NC,Gates,36.3543,-76.6178,
27947,Jarvisburg,North Carolina,NC,Currituck,36.1714,-75.8621,
27948,Kill Devil Hills,North Carolina,NC,Dare,36.0088,-75.6757,
27949,Kitty Hawk,North Carolina,NC,Dare,36.0837,-75.6966,
27950,Knotts Island,North Carolina,NC,Currituck,36.5232,-75.9702,
27953,Manns Harbor,North Carolina,NC,Dare,35.8238,-75.8467,
27954,Manteo,North Carolina,NC,Dare,35.8948,-75.6714,
27956,Maple,North Carolina,NC,Currituck,36.3987,-76.0039,
27957,Merry Hill,North Carolina,NC,Bertie,36.0871,-76.7776,
27958,Moyock,North Carolina,NC,Currituck,36.4871,-76.1146,
27959,Nags Head,North Carolina,NC,Dare,35.8865,-75.6038,
27960,Ocracoke,North Carolina,NC,Hyde,35.1397,-75.8931,
27962,Plymouth,North Carolina,NC,Washington,35.8508,-76.7431,
27964,Point Harbor,North Carolina,NC,Currituck,36.0781,-75.7983,
27965,Poplar Branch,North Carolina,NC,Currituck,36.2737,-75.9097,
27966,Powells Point,North Carolina,NC,Currituck,36.1207,-75.8273,
27967,Powellsville,North Carolina,NC,Bertie,36.1647,-76.9672,
27968,Rodanthe,North Carolina,NC,Dare,35.6928,-75.7138,
27969,Roduco,North Carolina,NC,Gates,36.4242,-76.7021,
27970,Roper,North Carolina,NC,Washington,35.8994,-76.5809,
27972,Salvo,North Carolina,NC,Dare,35.5546,-75.4693,
27973,Shawboro,North Carolina,NC,Currituck,36.3779,-76.0945,
27974,Shiloh,North Carolina,NC,Camden,36.2584,-76.0432,
27976,South Mills,North Carolina,NC,Camden,36.4536,-76.3033,
27978,Stumpy Point,North Carolina,NC,Dare,35.6985,-75.7728,
27979,Sunbury,North Carolina,NC,Gates,36.4316,-76.6096,
27980,Tyner,North Carolina,NC,Chowan,36.2502,-76.6428,
27981,Wanchese,North Carolina,NC,Dare,35.8622,-75.6437,
27982,Waves,North Carolina,NC,Dare,35.565,-75.4663,
27983,Windsor,North Carolina,NC,Bertie,36.0159,-76.9336,
27985,Winfall,North Carolina,NC,Perquimans,36.2193,-76.4667,
27986,Winton,North Carolina,NC,Hertford,36.3826,-76.936,
28001,Albemarle,North Carolina,NC,Stanly,35.3573,-80.2044,
28002,Albemarle,North Carolina,NC,Stanly,35.2642,-80.1082,
28006,Alexis,North Carolina,NC,Gaston,35.4069,-81.0947,
28007,Ansonville,North Carolina,NC,Anson,35.0219,-80.0852,
28009,Badin,North Carolina,NC,Stanly,35.4157,-80.1594,
28010,Barium Springs,North Carolina,NC,Iredell,35.7192,-80.8991,
28012,Belmont,North Carolina,NC,Gaston,35.244,-81.044,
28016,Bessemer City,North Carolina,NC,Gaston,35.2849,-81.2864,
28017,Boiling Springs,North Carolina,NC,Cleveland,35.2549,-81.6914,
28018,Bostic,North Carolina,NC,Rutherford,35.4533,-81.8118,
28019,Caroleen,North Carolina,NC,Rutherford,35.3168,-81.8319,
28020,Casar,North Carolina,NC,Cleveland,35.5145,-81.6357,
28021,Cherryville,North Carolina,NC,Gaston,35.3747,-81.3509,
28023,China Grove,North Carolina,NC,Rowan,35.5669,-80.59,
28024,Cliffside,North Carolina,NC,Rutherford,35.2416,-81.7755,
28025,Concord,North Carolina,NC,Cabarrus,35.3716,-80.53,
28026,Concord,North Carolina,NC,Cabarrus,35.3463,-80.5411,
28027,Concord,North Carolina,NC,Cabarrus,35.4141,-80.6162,
28031,Cornelius,North Carolina,NC,Mecklenburg,35.4733,-80.8726,
28032,Cramerton,North Carolina,NC,Gaston,35.2396,-81.0831,
28033,Crouse,North Carolina,NC,Lincoln,35.4359,-81.3385,
28034,Dallas,North Carolina,NC,Gaston,35.3349,-81.1862,
28035,Davidson,North Carolina,NC,,35.4993,-80.8486,
28036,Davidson,North Carolina,NC,Mecklenburg,35.4858,-80.794,
28037,Denver,North Carolina,NC,Lincoln,35.4837,-80.9898,
28038,Earl,North Carolina,NC,Cleveland,35.197,-81.5386,
28039,East Spencer,North Carolina,NC,Rowan,35.6805,-80.4354,
28040,Ellenboro,North Carolina,NC,Rutherford,35.3344,-81.7707,
28041,Faith,North Carolina,NC,Rowan,35.5817,-80.4581,
28042,Fallston,North Carolina,NC,Cleveland,35.3739,-81.5437,
28043,Forest City,North Carolina,NC,Rutherford,35.325,-81.846,
28051,Gastonia,North Carolina,NC,Gaston,35.284,-81.1897,
28052,Gastonia,North Carolina,NC,Gaston,35.2449,-81.2194,
28053,Gastonia,North Carolina,NC,Gaston,35.2751,-81.2134,
28054,Gastonia,North Carolina,NC,Gaston,35.2495,-81.133,
28055,Gastonia,North Carolina,NC,Gaston,35.284,-81.1897,
28056,Gastonia,North Carolina,NC,Gaston,35.2172,-81.1252,
28070,Huntersville,North Carolina,NC,Mecklenburg,35.4622,-80.8987,
28071,Gold Hill,North Carolina,NC,Rowan,35.5498,-80.3346,
28072,Granite Quarry,North Carolina,NC,Rowan,35.6109,-80.4361,
28073,Grover,North Carolina,NC,Cleveland,35.1836,-81.4552,
28074,Harris,North Carolina,NC,Rutherford,35.2247,-81.8851,
28075,Harrisburg,North Carolina,NC,Cabarrus,35.3247,-80.6594,
28076,Henrietta,North Carolina,NC,Rutherford,35.2266,-81.795,
28077,High Shoals,North Carolina,NC,Gaston,35.4041,-81.2029,
28078,Huntersville,North Carolina,NC,Mecklenburg,35.4011,-80.8695,
28079,Indian Trail,North Carolina,NC,Union,35.0831,-80.6597,
28080,Iron Station,North Carolina,NC,Lincoln,35.4657,-81.107,
28081,Kannapolis,North Carolina,NC,Cabarrus,35.502,-80.6359,
28082,Kannapolis,North Carolina,NC,Cabarrus,35.3463,-80.5411,
28083,Kannapolis,North Carolina,NC,Cabarrus,35.4848,-80.6015,
28086,Kings Mountain,North Carolina,NC,Cleveland,35.2516,-81.3806,
28088,Landis,North Carolina,NC,Rowan,35.5435,-80.6129,
28089,Lattimore,North Carolina,NC,Cleveland,35.3087,-81.6617,
28090,Lawndale,North Carolina,NC,Cleveland,35.4449,-81.5336,
28091,Lilesville,North Carolina,NC,Anson,34.9689,-79.9721,
28092,Lincolnton,North Carolina,NC,Lincoln,35.4851,-81.1818,
28093,Lincolnton,North Carolina,NC,Lincoln,35.4848,-81.2395,
28097,Locust,North Carolina,NC,Stanly,35.2704,-80.4211,
28098,Lowell,North Carolina,NC,Gaston,35.2655,-81.096,
28101,Mc Adenville,North Carolina,NC,Gaston,35.2578,-81.0788,
28102,Mc Farlan,North Carolina,NC,Anson,34.8136,-79.9776,
28103,Marshville,North Carolina,NC,Union,35.0167,-80.3781,
28104,Matthews,North Carolina,NC,Mecklenburg,35.0604,-80.6958,
28105,Matthews,North Carolina,NC,Mecklenburg,35.1149,-80.705,
28106,Matthews,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28107,Midland,North Carolina,NC,Cabarrus,35.2477,-80.5319,
28108,Mineral Springs,North Carolina,NC,Union,34.9163,-80.6404,
28109,Misenheimer,North Carolina,NC,Stanly,35.4801,-80.2704,
28110,Monroe,North Carolina,NC,Union,35.0178,-80.5372,
28111,Monroe,North Carolina,NC,Union,35.0112,-80.5587,
28112,Monroe,North Carolina,NC,Union,34.8946,-80.554,
28114,Mooresboro,North Carolina,NC,Cleveland,35.2295,-81.7492,
28115,Mooresville,North Carolina,NC,Iredell,35.5774,-80.8226,
28117,Mooresville,North Carolina,NC,Iredell,35.584,-80.8685,
28119,Morven,North Carolina,NC,Anson,34.8511,-80.0025,
28120,Mount Holly,North Carolina,NC,Gaston,35.3119,-81.0306,
28123,Mount Mourne,North Carolina,NC,Iredell,35.5298,-80.947,
28124,Mount Pleasant,North Carolina,NC,Cabarrus,35.4146,-80.4171,
28125,Mount Ulla,North Carolina,NC,Rowan,35.6389,-80.7239,
28126,Newell,North Carolina,NC,Mecklenburg,35.2768,-80.7165,
28127,New London,North Carolina,NC,Stanly,35.4285,-80.2057,
28128,Norwood,North Carolina,NC,Stanly,35.2275,-80.1433,
28129,Oakboro,North Carolina,NC,Stanly,35.246,-80.3413,
28130,Paw Creek,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28133,Peachland,North Carolina,NC,Anson,35.0054,-80.2829,
28134,Pineville,North Carolina,NC,Mecklenburg,35.0709,-80.8859,
28135,Polkton,North Carolina,NC,Anson,34.9823,-80.1538,
28136,Polkville,North Carolina,NC,Cleveland,35.3961,-81.6303,
28137,Richfield,North Carolina,NC,Stanly,35.4541,-80.2838,
28138,Rockwell,North Carolina,NC,Rowan,35.5494,-80.4226,
28139,Rutherfordton,North Carolina,NC,Rutherford,35.3706,-81.9781,
28144,Salisbury,North Carolina,NC,Rowan,35.6515,-80.4889,
28145,Salisbury,North Carolina,NC,Rowan,35.6827,-80.4771,
28146,Salisbury,North Carolina,NC,Rowan,35.6187,-80.4022,
28147,Salisbury,North Carolina,NC,Rowan,35.6817,-80.5615,
28150,Shelby,North Carolina,NC,Cleveland,35.312,-81.5568,
28151,Shelby,North Carolina,NC,Cleveland,35.2331,-81.5747,
28152,Shelby,North Carolina,NC,Cleveland,35.2689,-81.5337,
28159,Spencer,North Carolina,NC,Rowan,35.6917,-80.4327,
28160,Spindale,North Carolina,NC,Rutherford,35.3601,-81.9251,
28163,Stanfield,North Carolina,NC,Stanly,35.2106,-80.4407,
28164,Stanley,North Carolina,NC,Gaston,35.3516,-81.0959,
28166,Troutman,North Carolina,NC,Iredell,35.6863,-80.8822,
28167,Union Mills,North Carolina,NC,Rutherford,35.4732,-81.9685,
28168,Vale,North Carolina,NC,Lincoln,35.5188,-81.4589,
28169,Waco,North Carolina,NC,Cleveland,35.3529,-81.4251,
28170,Wadesboro,North Carolina,NC,Anson,34.9809,-80.0696,
28173,Waxhaw,North Carolina,NC,Union,34.9251,-80.7278,
28174,Wingate,North Carolina,NC,Union,34.9847,-80.4476,
28201,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28202,Charlotte,North Carolina,NC,Mecklenburg,35.229,-80.8419,
28203,Charlotte,North Carolina,NC,Mecklenburg,35.2081,-80.8583,
28204,Charlotte,North Carolina,NC,Mecklenburg,35.2132,-80.8231,
28205,Charlotte,North Carolina,NC,Mecklenburg,35.22,-80.7881,
28206,Charlotte,North Carolina,NC,Mecklenburg,35.2522,-80.8265,
28207,Charlotte,North Carolina,NC,Mecklenburg,35.1935,-80.8272,
28208,Charlotte,North Carolina,NC,Mecklenburg,35.2358,-80.8964,
28209,Charlotte,North Carolina,NC,Mecklenburg,35.1796,-80.8559,
28210,Charlotte,North Carolina,NC,Mecklenburg,35.1316,-80.8577,
28211,Charlotte,North Carolina,NC,Mecklenburg,35.1677,-80.7932,
28212,Charlotte,North Carolina,NC,Mecklenburg,35.1908,-80.7448,
28213,Charlotte,North Carolina,NC,Mecklenburg,35.2836,-80.7638,
28214,Charlotte,North Carolina,NC,Mecklenburg,35.2731,-80.9571,
28215,Charlotte,North Carolina,NC,Mecklenburg,35.244,-80.7387,
28216,Charlotte,North Carolina,NC,Mecklenburg,35.2834,-80.8702,
28217,Charlotte,North Carolina,NC,Mecklenburg,35.1714,-80.9084,
28218,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28219,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28220,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28221,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28222,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28223,Charlotte,North Carolina,NC,Mecklenburg,35.3041,-80.7267,
28224,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28225,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28226,Charlotte,North Carolina,NC,Mecklenburg,35.0869,-80.8167,
28227,Charlotte,North Carolina,NC,Mecklenburg,35.1936,-80.6846,
28228,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28229,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28230,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28231,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28232,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28233,Charlotte,North Carolina,NC,Mecklenburg,35.4894,-80.8254,
28234,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28235,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28236,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28237,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28240,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28241,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28242,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28243,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28244,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28245,Charlotte,North Carolina,NC,,35.2268,-80.8432,
28246,Charlotte,North Carolina,NC,Mecklenburg,35.2275,-80.8425,
28247,Charlotte,North Carolina,NC,Mecklenburg,35.0656,-80.8511,
28250,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28253,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28254,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28255,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28256,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28258,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
28260,Charlotte,North Carolina,NC,Mecklenburg,35.26,-80.8042,
